DEPTH (m),O2 (mg/L)
12.5,4.09981767
12.5,4.08014529
12.5,4.07719083
12.5,4.04732196
12.5,4.02772164
12.5,4.02617235
12.5,4.20372819
12.5,4.20877239
12.5,4.21612251
12.5,4.1052582
12.5,4.13581164
12.5,4.18211019
12.5,4.26065559
12.5,4.27607643
12.5,4.51895466
12.5,4.50926259
12.5,4.50346176
12.5,4.50169629
12.5,4.50288528
12.5,4.50295734
12.5,4.50418236
12.5,4.50450663
12.5,3.80505624
12.5,4.32659049
12.5,4.334409
12.5,4.35757629
12.5,4.36687203
12.5,4.36222416
12.5,4.37198829
12.5,4.38888636
12.5,4.06317516
12.5,4.3217985
12.5,4.27618452
12.5,4.29250611
12.5,4.30789092
12.5,4.3293648
12.5,4.12096728
12.4,4.01183241
12.4,4.08850425
12.4,4.07268708
12.4,4.04321454
12.4,4.19072136
12.4,4.22030199
12.4,4.22422926
12.4,4.15890687
12.4,4.24804509
12.4,3.82051311
12.4,4.23514635
12.4,4.29582087
12.4,4.27088811
12.4,4.2972981
12.4,4.21551
12.4,4.33502151
12.3,4.17656157
12.3,4.16485182
12.3,4.14499929
12.3,4.09452126
12.3,4.09632276
12.3,4.09812426
12.3,4.09960149
12.3,4.10410524
12.3,4.1070597
12.3,4.11545469
12.3,4.02051564
12.3,4.02761355
12.3,4.09621467
12.3,4.0958904
12.3,4.09124253
12.3,4.10244786
12.3,4.10569056
12.3,4.10623101
12.3,4.10756412
12.3,4.10720382
12.3,4.10291625
12.3,4.09365654
12.3,4.08273945
12.3,4.04173731
12.3,4.07196648
12.3,4.07610993
12.3,4.1726343
12.3,4.17573288
12.3,4.17951603
12.3,4.193892
12.3,4.20026931
12.3,4.59476178
12.3,3.84360834
12.3,4.28814648
12.3,4.35091074
12.3,4.36344918
12.3,4.36759263
12.3,4.36589922
12.3,4.36478229
12.3,4.3556667
12.3,4.35390123
12.3,4.35433359
12.3,4.36708821
12.3,4.3762038
12.3,4.1441706
12.3,4.18805514
12.3,4.21860858
12.3,4.26051147
12.3,4.31102553
12.3,4.33354428
12.3,4.31632194
12.3,4.14557577
12.3,4.16755407
12.3,4.27142856
12.3,4.30998066
12.3,4.32122202
12.3,4.32911259
12.2,4.14089187
12.2,4.0937286
12.2,4.11062667
12.2,4.08717114
12.2,4.09135062
12.2,4.09275579
12.2,4.08414462
12.2,4.04303439
12.2,4.07369592
12.2,4.07430843
12.2,4.12298496
12.2,4.16157309
12.2,4.16658126
12.2,4.17025632
12.2,4.17782262
12.2,4.29884739
12.2,4.36247637
12.2,4.38301347
12.2,4.12071507
12.2,4.3426959
12.2,4.24923408
12.2,4.31178216
12.2,4.20120609
12.2,4.23867729
12.1,4.23121908
12.1,4.19338758
12.1,4.18041678
12.1,4.16859894
12.1,4.16204148
12.1,4.15580829
12.1,4.14424266
12.1,4.08933294
12.1,4.09059399
12.1,4.09113444
12.1,4.09520583
12.1,4.07762319
12.1,4.07989308
12.1,4.08115413
12.1,4.08093795
12.1,4.08079383
12.1,4.08057765
12.1,4.08097398
12.1,4.08486522
12.1,4.09019766
12.1,4.09448523
12.1,4.09293594
12.1,4.09308006
12.1,4.09196313
12.1,4.09131459
12.1,4.10053827
12.1,4.10212359
12.1,4.10435745
12.1,4.10378097
12.1,4.10781633
12.1,4.10878914
12.1,4.09091826
12.1,4.04119686
12.1,4.04494398
12.1,4.05060069
12.1,4.05420369
12.1,4.07048925
12.1,4.07394813
12.1,4.0771548
12.1,4.06976865
12.1,4.07546139
12.1,4.08983736
12.1,4.08126222
12.1,4.13231673
12.1,4.13736093
12.1,4.15069203
12.1,4.15126851
12.1,4.1564208
